circle,0.6,True
646,18.20000,-11.20000
647,-18.20000,-12.60000
648,-16.80000,-12.60000
649,-15.40000,-12.60000
650,-14.00000,-12.60000
651,-12.60000,-12.60000
652,-11.20000,-12.60000
653,-9.80000,-12.60000
654,-8.40000,-12.60000
655,-7.00000,-12.60000
656,-5.60000,-12.60000
657,-4.20000,-12.60000
658,-2.80000,-12.60000
659,-1.40000,-12.60000
660,0.00000,-12.60000
661,1.40000,-12.60000
662,2.80000,-12.60000
663,4.20000,-12.60000
664,5.60000,-12.60000
665,7.00000,-12.60000
666,8.40000,-12.60000
667,9.80000,-12.60000
668,11.20000,-12.60000
669,12.60000,-12.60000
670,14.00000,-12.60000
671,15.40000,-12.60000
672,16.80000,-12.60000
673,18.20000,-12.60000
674,-16.80000,-14.00000
675,-15.40000,-14.00000
676,-14.00000,-14.00000
677,-12.60000,-14.00000
678,-11.20000,-14.00000
679,-9.80000,-14.00000
680,-8.40000,-14.00000
681,-7.00000,-14.00000
682,-5.60000,-14.00000
683,-4.20000,-14.00000
684,-2.80000,-14.00000
685,-1.40000,-14.00000
686,0.00000,-14.00000
687,1.40000,-14.00000
688,2.80000,-14.00000
689,4.20000,-14.00000
690,5.60000,-14.00000
691,7.00000,-14.00000
692,8.40000,-14.00000
693,9.80000,-14.00000
694,11.20000,-14.00000
695,12.60000,-14.00000
696,14.00000,-14.00000
697,15.40000,-14.00000
698,16.80000,-14.00000
699,-15.40000,-15.40000
700,-14.00000,-15.40000
701,-12.60000,-15.40000
702,-11.20000,-15.40000
703,-9.80000,-15.40000
704,-8.40000,-15.40000
705,-7.00000,-15.40000
706,-5.60000,-15.40000
707,-4.20000,-15.40000
708,-2.80000,-15.40000
709,-1.40000,-15.40000
710,0.00000,-15.40000
711,1.40000,-15.40000
712,2.80000,-15.40000
713,4.20000,-15.40000
714,5.60000,-15.40000
715,7.00000,-15.40000
716,8.40000,-15.40000
717,9.80000,-15.40000
718,11.20000,-15.40000
719,12.60000,-15.40000
720,14.00000,-15.40000
721,15.40000,-15.40000
722,-14.00000,-16.80000
723,-12.60000,-16.80000
724,-11.20000,-16.80000
